"t"	"x"	"y"	"z"	"magnitud"
4.180944000E-3	1.562534571E-1	-9.462833405E-2	-2.294726372E-1	2.933042033E-1
1.241663600E-2	2.332878113E-1	-6.552648544E-2	-2.530822754E-1	3.503820219E-1
2.066175100E-2	4.995603561E-1	6.150627136E-2	-2.883281708E-1	5.800661212E-1
2.889840500E-2	8.941979408E-1	1.256856918E-1	-3.221487999E-1	9.587318185E-1
3.713544400E-2	1.244284868E0	2.243990898E-1	-3.292112350E-1	1.306514379E0
4.537113600E-2	1.542745709E0	3.633198738E-1	-3.737850189E-1	1.628428965E0
5.360609700E-2	1.548031092E0	4.411120415E-1	-3.407969475E-1	1.645333599E0
6.184009700E-2	1.283563733E0	4.328565598E-1	-3.565788269E-1	1.400731637E0
7.007521300E-2	8.977952003E-1	3.607487679E-1	-3.715300560E-1	1.036441256E0
7.831005900E-2	5.967791080E-1	2.537612915E-1	-3.853693008E-1	7.543537598E-1
8.654432800E-2	4.286516905E-1	2.797374725E-1	-3.691287041E-1	6.310715692E-1
9.477913600E-2	3.373667002E-1	2.712497711E-1	-3.826150894E-1	5.777430531E-1
1.030147510E-1	3.546707630E-1	2.288284302E-1	-4.168968201E-1	5.932594367E-1
1.112510590E-1	4.325625896E-1	2.459969521E-1	-4.266052246E-1	6.554516855E-1
1.194871360E-1	5.982600451E-1	2.562174797E-1	-4.100179672E-1	7.692055719E-1
1.277220970E-1	7.212388515E-1	2.954545021E-1	-4.248905182E-1	8.876997219E-1
1.359585590E-1	7.501692772E-1	3.494844437E-1	-4.477005005E-1	9.409192627E-1
1.441934430E-1	7.206836939E-1	4.236388206E-1	-4.195480347E-1	9.353477377E-1
1.524285200E-1	3.058761358E-1	3.689665794E-1	-2.967596054E-1	5.637045419E-1
1.606634820E-1	6.314539909E-2	3.235745430E-1	-1.581707001E-1	3.656580324E-1
1.688990970E-1	-1.460862160E-1	4.228448868E-1	-1.146225929E-1	4.618195747E-1
1.771339050E-1	-1.956443787E-1	5.536293983E-1	-8.337450027E-2	5.930712781E-1
1.853683660E-1	-2.541542053E-4	7.291607857E-1	-1.702656746E-1	7.487762789E-1
1.936037120E-1	2.483566999E-1	9.310488701E-1	-2.129125595E-1	9.868458881E-1
2.018378660E-1	7.056620121E-1	1.231730938E0	-2.047615051E-1	1.434241002E0
2.100731740E-1	1.319023609E0	1.561564922E0	-2.222313881E-1	2.056135958E0
2.183081740E-1	1.899145722E0	1.915543079E0	-2.609090805E-1	2.710006146E0
2.265439040E-1	2.540462971E0	2.191432476E0	-2.482051849E-1	3.364213759E0
2.347774810E-1	2.958640575E0	2.201988220E0	-1.106843948E-1	3.689790944E0
2.430127890E-1	3.445913792E0	1.928751945E0	1.707353592E-1	3.952664480E0
2.512451740E-1	3.546205521E0	1.585908413E0	4.272880554E-1	3.908101095E0
2.594770580E-1	3.345725536E0	1.340614319E0	6.333842278E-1	3.659549384E0
2.677189430E-1	2.938286066E0	1.171003342E0	9.165501595E-1	3.293150168E0
2.759528660E-1	2.445035696E0	9.501571655E-1	1.011782646E0	2.811530245E0
2.841869040E-1	1.996713161E0	7.771148682E-1	9.673252106E-1	2.350848577E0
2.924212120E-1	1.725090504E0	4.831318855E-1	8.814449310E-1	1.996571770E0
3.006555190E-1	1.437947989E0	2.433848381E-1	8.263788223E-1	1.676255516E0
3.088892500E-1	1.274608135E0	6.306123734E-2	6.752815247E-1	1.443817078E0
3.171241730E-1	1.062698603E0	-2.166576385E-1	4.844183922E-1	1.187825758E0
3.253592500E-1	1.607724547E0	-2.426910400E-2	2.743134499E-1	1.631139197E0
3.335951730E-1	1.638462067E0	-2.608599663E-1	-1.098608971E-1	1.662731272E0
3.418300580E-1	1.511036992E0	-2.362670898E-1	-4.195899963E-1	1.585910052E0
3.500649810E-1	1.935026646E0	2.114524841E-1	-9.034810066E-1	2.146000513E0
3.583000960E-1	3.427608252E0	-9.392700195E-1	-2.112595081E0	4.134463021E0
3.665345960E-1	3.422907352E0	1.156487465E-1	-1.014339924E0	3.571911933E0
3.747684810E-1	3.742960453E0	1.318130016E0	7.005405426E-2	3.968894968E0
3.830020190E-1	4.488125801E0	2.103200912E0	9.460277557E-1	5.045958363E0
3.912352110E-1	4.979305267E0	2.327397823E0	8.067293167E-1	5.555274409E0
3.994669040E-1	5.753551960E0	2.037605286E0	2.780046463E-1	6.110031263E0
4.076990960E-1	6.488024235E0	1.848567963E0	8.862161636E-2	6.746815232E0
4.159317880E-1	7.248458862E0	1.983499050E0	2.529759407E-1	7.519203494E0
4.241660190E-1	7.578125000E0	2.560742855E0	6.054067612E-1	8.021963590E0
4.324004420E-1	7.211726189E0	3.099477768E0	4.614238739E-1	7.863120821E0
4.406356340E-1	7.172646046E0	2.960129738E0	5.014371872E-2	7.759622011E0
4.488708650E-1	6.598951817E0	1.587805748E0	-2.230215073E-1	6.790952125E0
4.571065960E-1	7.707360744E0	-7.209472656E-1	-1.444172859E-1	7.742353063E0
4.653404420E-1	8.130200386E0	-2.364518642E0	4.101943970E-1	8.476990396E0
4.735761340E-1	7.786158562E0	-3.452618361E0	8.982963562E-1	8.564565081E0
4.818107110E-1	7.067737579E0	-4.492859364E0	1.216823101E0	8.462822119E0
4.900452880E-1	6.087087631E0	-5.278646946E0	1.668039322E0	8.227946560E0
4.982788650E-1	5.916174889E0	-6.365655422E0	1.661963463E0	8.847870751E0
5.065132110E-1	5.932426929E0	-7.740825653E0	1.691135883E0	9.898182239E0
5.147561730E-1	5.568792343E0	-9.133451462E0	1.472866535E0	1.079818131E1
5.229908260E-1	5.622617722E0	-1.029710197E1	1.186726093E0	1.179205062E1
5.312252110E-1	4.958447933E0	-1.144448853E1	1.191310883E0	1.252923562E1
5.394604420E-1	2.719202995E0	-1.251835251E1	1.424808979E0	1.288927054E1
5.476942110E-1	2.013045549E0	-1.440279961E1	2.781847477E0	1.480647373E1
5.559286720E-1	2.891176224E0	-1.721707153E1	3.434830666E0	1.779282198E1
5.641627490E-1	2.522835732E0	-1.971535492E1	2.509267807E0	2.003387992E1
5.723974030E-1	2.270940542E0	-2.274345016E1	1.866319656E0	2.293261532E1
5.806312110E-1	6.047215462E-1	-2.546759224E1	1.980074883E0	2.555160737E1
5.888652880E-1	-1.883287907E0	-2.699121475E1	2.434889793E0	2.716617631E1
5.970982880E-1	-5.405013084E0	-2.782096863E1	3.785366058E0	2.859282179E1
6.053333260E-1	-9.060180664E0	-2.699730301E1	5.121154785E0	2.893384644E1
6.135680570E-1	-1.254814529E1	-2.614633369E1	6.832854271E0	2.979554687E1
6.218023640E-1	-1.510308075E1	-2.514884186E1	7.453550339E0	3.026751902E1
6.300364800E-1	-1.570583916E1	-2.408230209E1	7.518486023E0	2.971797924E1
6.382729410E-1	-1.379458427E1	-2.338273239E1	5.972368240E0	2.779769616E1
6.465085570E-1	-1.027117062E1	-2.275283623E1	3.782464027E0	2.524867395E1
6.547420570E-1	-5.616417885E0	-2.183242798E1	1.270911217E0	2.257906722E1
6.629759030E-1	-5.294430256E-1	-2.073514557E1	-9.449048042E-1	2.076341534E1
6.712104030E-1	3.474597454E0	-1.936524391E1	-2.159789562E0	1.979268022E1
6.794454030E-1	6.235292435E0	-1.744839287E1	-2.066496372E0	1.864391838E1
6.876793640E-1	7.296212196E0	-1.553415775E1	-1.070652962E0	1.719567002E1
6.959126330E-1	7.331292152E0	-1.296742630E1	3.533334732E-1	1.490056489E1
7.041466720E-1	8.187389374E0	-1.000701809E1	1.754747391E0	1.304809926E1
7.123811720E-1	9.929288864E0	-6.786149025E0	2.592737198E0	1.230304361E1
7.206164790E-1	1.210606480E1	-3.688328266E0	1.815032005E0	1.278494863E1
7.288520180E-1	1.509419441E1	2.369523048E-1	5.541181564E-1	1.510622052E1
7.370878640E-1	1.720640373E1	5.331926823E0	5.566167831E-1	1.802219729E1
7.453228250E-1	1.860277176E1	1.101969528E1	5.740165710E-1	2.162929255E1
7.535575950E-1	2.002229691E1	1.607220650E1	5.041990280E-1	2.568000023E1
7.618003250E-1	2.104128075E1	2.101759720E1	9.180011749E-1	2.975428731E1
7.700342100E-1	2.180033302E1	2.684294319E1	1.468852043E0	3.461149586E1
7.782688250E-1	2.237015533E1	3.108878899E1	1.600776672E0	3.833404670E1
7.865030180E-1	2.356910515E1	3.326105499E1	1.101531029E0	4.078006703E1
7.947360950E-1	2.399986076E1	3.380401230E1	9.022302628E-1	4.146707831E1
8.029683640E-1	2.419060135E1	3.205660248E1	2.391596794E0	4.023096682E1
8.112004410E-1	2.244639015E1	2.988256454E1	3.719820023E0	3.755855636E1
8.194331710E-1	2.127903748E1	2.666473770E1	5.087738991E0	3.449189413E1
8.276670170E-1	2.030247116E1	2.256265450E1	6.164845467E0	3.097206859E1
8.359010940E-1	1.900505638E1	1.817735481E1	7.119935989E0	2.724521765E1
8.441364020E-1	1.778460693E1	1.369382286E1	7.655288696E0	2.371532149E1
8.523717480E-1	1.650988579E1	9.375345230E0	7.786752701E0	2.052089044E1
8.606059400E-1	1.588732529E1	6.024139404E0	7.632643700E0	1.862671764E1
8.688397870E-1	1.579118538E1	2.721617937E0	7.090044022E0	1.752248453E1
8.770741330E-1	1.511495972E1	-3.405296803E-1	6.053542137E0	1.628567899E1
8.853096330E-1	1.385713959E1	-2.998710155E0	4.990858078E0	1.503067678E1
8.935468630E-1	1.195676708E1	-5.182631493E0	3.755032539E0	1.356186630E1
9.017843630E-1	1.082376099E1	-7.248951435E0	2.396330833E0	1.324550868E1
9.100207090E-1	1.042718506E1	-9.437612534E0	1.184106827E0	1.411371062E1
9.182582090E-1	1.043889523E1	-1.115037346E1	4.278697968E-1	1.528019746E1
9.264945940E-1	1.027719116E1	-1.225283718E1	-1.411037445E-1	1.599289178E1
9.347297090E-1	1.070041084E1	-1.382482147E1	-9.738774300E-1	1.750922380E1
9.429654400E-1	1.395302010E1	-1.664004707E1	-1.945333481E0	2.180280392E1
9.512017090E-1	1.469401741E1	-1.872324944E1	-2.590203285E0	2.394124830E1
9.594380940E-1	1.402469063E1	-2.013548660E1	-2.508634567E0	2.466623229E1
9.676724400E-1	1.275484276E1	-2.119557190E1	-2.908660889E0	2.490780179E1
9.759062480E-1	1.091999245E1	-2.182727623E1	-3.641490936E0	2.467664237E1
