"t"	"Luma"	"Luminance"	"Shutter Speed (s)"	"Aperture (f/N)"	"ISO"
0.000000000E0	1.402541280E-1	2.689245588E-3	5.752189100E-2	1.799999952E0	1.600000000E3
0.000000000E0	1.361785668E-1	2.363690224E-3	6.108626300E-2	1.799999952E0	1.600000000E3
7.054607700E-2	1.374403380E-1	2.260912473E-3	6.515665100E-2	1.799999952E0	1.600000000E3
1.507658460E-1	1.360898800E-1	2.055245835E-3	3.488504300E-2	1.799999952E0	3.200000000E3
2.310051150E-1	1.376459301E-1	2.042853487E-3	3.621328500E-2	1.799999952E0	3.200000000E3
3.212501150E-1	1.399034120E-1	2.038105435E-3	3.763748900E-2	1.799999952E0	3.200000000E3
4.114867300E-1	1.385731102E-1	1.920599131E-3	3.916556000E-2	1.799999952E0	3.200000000E3
5.017244610E-1	1.406129063E-1	1.901885430E-3	4.082528000E-2	1.799999952E0	3.200000000E3
6.019672300E-1	1.436685694E-1	1.895807254E-3	4.262025600E-2	1.799999952E0	3.200000000E3
7.022111530E-1	1.512553212E-1	2.029311900E-3	4.456123700E-2	1.799999952E0	3.200000000E3
8.024587300E-1	1.539038313E-1	2.015192471E-3	4.663487000E-2	1.799999952E0	3.200000000E3
9.026884990E-1	1.585921375E-1	2.066099679E-3	4.889177200E-2	1.799999952E0	3.200000000E3
1.002939307E0	1.641713429E-1	2.109583672E-3	5.133756600E-2	1.799999952E0	3.200000000E3
1.103183768E0	1.723103715E-1	2.390932082E-3	5.088022100E-2	1.799999952E0	3.200000000E3
1.203418883E0	1.776678599E-1	2.596462833E-3	5.006551100E-2	1.799999952E0	3.200000000E3
1.303662922E0	1.789296311E-1	2.687315315E-3	4.912923800E-2	1.799999952E0	3.200000000E3
1.403908076E0	1.844403057E-1	2.926154837E-3	4.814246700E-2	1.799999952E0	3.200000000E3
1.504146076E0	1.903944143E-1	3.217425735E-3	4.592020400E-2	1.799999952E0	3.200000000E3
1.604389499E0	1.869517544E-1	3.384749477E-3	4.374951900E-2	1.799999952E0	3.200000000E3
1.704630806E0	1.899791989E-1	3.566856897E-3	4.173416800E-2	1.799999952E0	3.200000000E3
1.804873345E0	1.869719105E-1	3.683042054E-3	3.994119900E-2	1.799999952E0	3.200000000E3
1.905120344E0	1.855972652E-1	3.758633220E-3	3.833651500E-2	1.799999952E0	3.200000000E3
2.005358152E0	1.859318563E-1	3.884840128E-3	3.692734300E-2	1.799999952E0	3.200000000E3
2.105600921E0	1.840331527E-1	3.917894815E-3	3.565194900E-2	1.799999952E0	3.200000000E3
2.205846229E0	1.808686468E-1	3.841214747E-3	3.508744800E-2	1.799999952E0	3.200000000E3
2.306087421E0	1.773090815E-1	3.738987494E-3	3.458413300E-2	1.799999952E0	3.200000000E3
2.406329113E0	1.745275413E-1	3.650423391E-3	3.413736800E-2	1.799999952E0	3.200000000E3
2.506574498E0	1.718467815E-1	3.547937023E-3	3.377062200E-2	1.799999952E0	3.200000000E3
2.606817075E0	1.691095846E-1	3.467209423E-3	3.345196500E-2	1.799999952E0	3.200000000E3
2.707057921E0	1.668641963E-1	3.336880480E-3	6.633124700E-2	1.799999952E0	1.600000000E3
2.807296767E0	1.650743357E-1	3.369427759E-3	6.536069500E-2	1.799999952E0	1.600000000E3
2.907539113E0	1.641632804E-1	3.318699603E-3	6.461937300E-2	1.799999952E0	1.600000000E3
3.007780421E0	1.638206269E-1	3.358559115E-3	6.394389700E-2	1.799999952E0	1.600000000E3
3.108019651E0	1.631474136E-1	3.385890001E-3	6.333057300E-2	1.799999952E0	1.600000000E3
3.208264613E0	1.630546956E-1	3.414983060E-3	6.272895800E-2	1.799999952E0	1.600000000E3
3.308508651E0	1.608133385E-1	3.352116935E-3	6.213871900E-2	1.799999952E0	1.600000000E3
3.408752305E0	7.418287216E-1	1.445386981E-2	6.606548800E-2	1.799999952E0	1.600000000E3
3.508992997E0	1.003176600E0	3.040626068E-2	5.951851400E-2	1.799999952E0	1.600000000E3
3.609234574E0	1.001100522E0	3.337632027E-2	5.420483300E-2	1.799999952E0	1.600000000E3
3.709477228E0	1.001427051E0	3.631863290E-2	4.979758700E-2	1.799999952E0	1.600000000E3
3.809718382E0	1.001273865E0	3.924257033E-2	4.607788700E-2	1.799999952E0	1.600000000E3
3.909960920E0	1.000245904E0	4.217980151E-2	4.289312900E-2	1.799999952E0	1.600000000E3
4.010204804E0	1.000536152E0	4.504582068E-2	4.013339800E-2	1.799999952E0	1.600000000E3
4.110443574E0	9.999959688E-1	4.793613566E-2	3.771736300E-2	1.799999952E0	1.600000000E3
4.200688458E0	1.000181405E0	5.082272851E-2	3.558346300E-2	1.799999952E0	1.600000000E3
4.280913458E0	1.000342654E0	5.365449604E-2	3.368418800E-2	1.799999952E0	1.600000000E3
4.361153150E0	1.000520027E0	5.653441159E-2	6.396450200E-2	1.799999952E0	8.000000000E2
4.431384804E0	1.000725619E0	6.250656836E-2	5.782731500E-2	1.799999952E0	8.000000000E2
4.501616112E0	9.992582559E-1	6.841296067E-2	5.281131700E-2	1.799999952E0	8.000000000E2
4.571850573E0	1.000036281E0	7.429176134E-2	4.862776400E-2	1.799999952E0	8.000000000E2
4.642085343E0	1.000653057E0	8.012347118E-2	4.508077400E-2	1.799999952E0	8.000000000E2
4.712321073E0	1.000806244E0	8.593967882E-2	4.203235900E-2	1.799999952E0	8.000000000E2
4.782554381E0	9.996855650E-1	9.173379766E-2	3.938228000E-2	1.799999952E0	8.000000000E2
4.852784919E0	1.000967492E0	9.751790546E-2	3.705583400E-2	1.799999952E0	8.000000000E2
4.923022612E0	1.000963461E0	1.032882571E-1	3.499613100E-2	1.799999952E0	8.000000000E2
4.993256111E0	9.998629386E-1	1.090239155E-1	6.631807400E-2	1.799999952E0	4.000000000E2
5.063486919E0	1.000620808E0	1.210771402E-1	5.972094300E-2	1.799999952E0	4.000000000E2
